Nome;cluster;pc1;pc2
Dark Lord's Cape;2;-0.34578806;0.16172619
Dauntless Dragon Scale Armor;2;-0.36432087;0.22531086
Dawnfire Sherwani;2;-0.32841328;0.036739297
Death Oyoroi;2;-0.40457135;0.21116954
Demon Armor;3;-0.39625993;0.0038706802
Depth Lorica;2;-0.12348073;0.28520828
Divine Plate;3;-0.31043708;-0.05308616
Doublet;3;-0.34450066;-0.18540543
Dragon Robe;2;-0.26357642;-0.10346954
Dragon Scale Mail;3;-0.3019201;-0.104505345
Dream Shroud;3;-0.3439343;-0.13454255
Earthborn Titan Armor;2;-0.29385445;0.141198
Earthheart Cuirass;2;-0.29051727;0.33452109
Earthheart Hauberk;2;-0.23089588;0.28056365
Earthheart Platemail;2;-0.11296322;0.3345777
Earthmind Raiment;2;-0.37292108;-0.11727119
Earthsoul Tabard;2;-0.029478585;0.1867773
Eldritch Cuirass;2;-0.17042032;0.3242065
Elite Draken Mail;2;-0.20470695;0.28453755
Elven Mail;5;0.03655486;0.044170737
Embrace of Nature;2;-0.054351944;0.3224886
Energy Robe;2;-0.20520248;0.22326316
Ethno Coat;3;-0.38407364;-0.10311586
Falcon Plate;2;-0.075050674;0.32105958
Fireborn Giant Armor;2;-0.3512145;0.15581024
Fireheart Cuirass;2;-0.2783383;0.3185941
Fireheart Hauberk;2;-0.22542714;0.2633485
Fireheart Platemail;2;-0.08861815;0.30181566
Firemind Raiment;2;-0.35290977;-0.09378062
Firesoul Tabard;2;-0.03267922;0.23464192
Flower Dress;4;0.20882498;-0.19515511
Focus Cape;3;-0.50676703;-0.18574542
Frostheart Cuirass;2;-0.16736068;0.31179762
Frostheart Hauberk;2;-0.09268121;0.25716963
Frostheart Platemail;2;0.037289947;0.29926005
Frostmind Raiment;2;-0.27910268;-0.14393531
Frostsoul Tabard;2;0.08793754;0.18852642
Frozen Plate;2;-0.09306058;-0.029719938
Fur Armor;3;-0.2891876;0.057844426
Furious Frock;2;-0.41102448;-0.018997584
Ghazbaran Oyoroi;2;-0.20546035;0.092562385
Ghost Chestplate;3;-0.2734874;-0.11124583
Gill Coat;3;-0.3940649;-0.124171205
Girl's Dress;4;0.13053258;-0.13678885
Glacier Robe;3;-0.35287225;-0.14157477
Glooth Cape;3;-0.36016515;-0.20996052
Gnome Armor;2;-0.18870921;0.2510201
Gnomish Cuirass;2;-0.2943437;0.28181657
Golden Armor;3;-0.34927887;0.12683913
Goo Shell;5;0.061249226;-0.013576224
Green Demon Armor;3;-0.26546165;0.03800179
Green Tunic;3;-0.35070828;0.0761183
Greenwood Coat;2;-0.1504553;-0.0064123934
Heat Core;1;0.06811917;-0.019349074
Heavy Metal T-Shirt;5;0.18909667;0.19183266
Hibiscus Dress;3;-0.19439055;-0.07774143
Ice Robe;2;-0.0864122;0.18342343
Jacket;5;0.27960634;0.1087578
Knight Armor;3;-0.42695966;0.037487064
Lavos Armor;2;-0.29515994;0.3111039
Leaf Robe;2;-0.22422917;0.14146425
Leather Armor;3;-0.39234102;-0.034966014
Leather Harness;5;0.03137926;0.2509476
Leopard Armor;3;-0.2833624;0.10816965
Lightning Robe;2;-0.33133557;-0.036648203
Lion Plate;2;-0.2744359;0.33563805
Living Armor;2;-0.44776863;-0.020175729
Magic Plate Armor;3;-0.4362897;0.010862486
Magician's Robe;3;-0.39123175;-0.16856949
Magma Coat;2;-0.39825094;-0.0073994617
Magma Robe;2;-0.2871778;0.19423069
Mammoth Fur Cape;3;-0.2953665;0.044480395
Master Archer's Armor;2;-0.24789701;0.43064085
Merudri Battle Mail;2;-0.277352;0.12574685
Merudri Nanbando;2;-0.2827953;0.29270592
Merudri Scale Mail;2;-0.1628367;0.26729074
Midnight Tunic;2;-0.26987612;0.012542686
Molten Plate;5;0.27116984;0.10725997
Monk Robe;2;-0.41610193;0.09088015
Mooh'tah Plate;2;-0.268462;0.212725
Mutated Skin Armor;2;-0.24709119;0.0789961
Mystical Dragon Robe;2;-0.33413932;-0.18508433
Naga Tanko;2;-0.32824406;0.24525623
Native Armor;2;-0.24133088;0.2374391
Noble Armor;2;-0.25805414;0.34844267
Norcferatu Bloodhide;2;-0.28200135;-0.05562217
Norcferatu Bonecloak;2;-0.21235715;-0.14074086
Norcferatu Tuskplate;2;-0.30983806;0.44251272
Oceanborn Leviathan Armor;2;-0.1190384;0.1824897
Old Cape;0;-0.0056431405;0.21794169
Ornate Chestplate;2;0.041694414;0.28290102
Pair of Old Bracers;5;0.09571217;0.07983232
Paladin Armor;2;-0.23280604;0.37419692
Pirate Shirt;5;0.05964307;-0.0009309483
Plain Monk Robe;2;-0.29545188;0.20425332
Plate Armor;3;-0.42206144;-0.010762875
Prismatic Armor;2;-0.1814491;0.30220845
Ranger's Cloak;3;-0.14513075;0.15719481
Red Robe;3;-0.27140763;-0.055948514
Red Tunic;5;0.20297879;0.18121026
Robe of Enlightenment;2;-0.26176748;0.19849654
Robe of the Ice Queen;2;-0.08257114;0.02156068
Robe of the Underworld;2;-0.40394422;0.07757575
Royal Draken Mail;2;-0.12962395;0.28467098
Royal Scale Robe;2;-0.37744337;0.0070998985
Scale Armor;3;-0.3899119;-0.031482317
Simple Dress;3;-0.056234963;-0.14513934
Skullcracker Armor;2;-0.41110492;0.05736525
Soulgarb;2;-0.32314157;0.1869628
Soulmantle;2;-0.37425318;-0.021084802
Soulshell;2;-0.10130017;0.32218423
Soulshroud;2;-0.3716298;-0.052089732
Spectral Dress;1;0.15470548;-0.027456585
Spellweaver's Robe;3;-0.4550586;-0.18798186
Spirit Bind;2;-0.19464606;0.09567666
Spirit Cloak;3;-0.380956;-0.24149796
Spiritthorn Armor;2;-0.34568006;0.32281244
Stoic Iks Chestplate;2;-0.031994257;0.39053166
Stoic Iks Cuirass;2;-0.31161028;0.053055402
Stoic Iks Robe;2;-0.25012636;0.29106382
Studded Armor;3;-0.3546367;-0.07405238
Summer Dress;5;-0.016214598;-0.061641693
Swamplair Armor;2;-0.45289418;0.06670491
Swan Feather Cloak;2;-0.010607416;-0.018783735
Terra Mantle;3;-0.43390146;-0.19248277
The Rain Coat;5;0.22181371;0.05436421
Thunderheart Cuirass;2;-0.20606239;0.33652952
Thunderheart Hauberk;2;-0.138771;0.32034916
Thunderheart Platemail;2;-0.057266902;0.37915224
Thundermind Raiment;2;-0.3210945;-0.07929957
Thundersoul Tabard;2;0.01600814;0.21660982
Toga Mortis;2;-0.33003742;0.019629115
Traditional Shirt;4;0.31251222;0.08604583
Tunic;5;0.18172866;0.23584959
Unerring Dragon Scale Armor;2;-0.31231913;0.06986928
Velvet Mantle;2;-0.29270974;0.036770646
Voltage Armor;2;-0.21954054;0.2830051
White Dress;5;0.21545704;0.031141475
Windborn Colossus Armor;2;-0.19501545;0.3502254
Witchhunter's Coat;2;-0.21327713;0.024382748
Yalahari Armor;2;-0.28169388;0.25705138
Zaoan Armor;3;-0.3695161;0.007868647
Zaoan Monk Robe;3;-0.4462128;-0.03501596
Zaoan Robe;3;-0.4493733;-0.14032528
Alchemist's Boots;2;-0.35821876;-0.036676936
Badger Boots;5;-0.12646969;0.18890971
Boots of Enlightenment;2;-0.31667584;0.20653725
Boots of Haste;3;-0.36580715;0.062675014
Boots of Homecoming;5;0.0473033;0.20161007
Boots of Waterwalking;5;0.19691248;0.068974316
Broken Iks Sandals;5;0.09732235;0.09088889
Bunnyslippers;5;-0.00043496225;-0.17633049
Cobra Boots;2;-0.14463452;0.3077814
Coconut Shoes;5;0.25355947;-0.013796057
Crocodile Boots;3;-0.1456741;-0.1106283
Crystal Boots;2;0.07937683;0.098431624
Depth Calcei;2;0.097584225;0.34175906
Dragon Scale Boots;2;-0.24851407;0.015408131
Draken Boots;2;-0.29199797;0.2219761
Eldritch Monk Boots;2;-0.32915154;0.1441554
Feverbloom Boots;2;-0.034855496;0.28364804
Filthy Bunnyslippers;3;-0.06617116;-0.22912075
Firewalker Boots;2;-0.029085217;0.012862291
Frostflower Boots;2;-0.031041708;0.076921746
Fur Boots;2;-0.28174403;0.09589155
Glacier Shoes;3;-0.3481085;-0.23459475
Gnomish Footwraps;2;-0.30144697;0.20410188
Golden Boots;0;-0.023311641;0.07808486
Green Demon Slippers;3;-0.05922776;-0.07023952
Guardian Boots;2;-0.4306332;0.051289123
Iks Footwraps;2;-0.25784463;0.33448747
Leather Boots;3;-0.22519028;-0.1689744
Lightning Boots;2;-0.3289457;-0.0036527705
Magma Boots;3;-0.3993628;-0.13888459
Make-do Boots;2;-0.1513651;-0.07747389
Makeshift Boots;2;-0.31813917;-0.035911925
Metal Spats;2;-0.13187596;0.30292585
Mutant Bone Boots;3;-0.33416095;-0.19911176
Norcferatu Fangstompers;2;-0.4422855;-0.024130903
Norcferatu Goretrampers;2;-0.099916115;0.24840206
Oriental Shoes;3;-0.27784404;-0.21006463
Pair of Dreamwalkers;3;-0.37219727;-0.15445444
Pair of Nightmare Boots;3;-0.4058338;-0.19887777
Pair of Soft Boots;5;0.19585943;0.07310331
Pair of Soulstalkers;2;-0.11003586;0.19571221
Pair of Soulwalkers;2;-0.3570353;0.25433385
Patched Boots;5;0.18897907;0.08584031
Pirate Boots;5;-0.01904475;0.082352675
Prismatic Boots;5;0.08852257;0.12662064
Sandals;3;-0.19090188;-0.10184491
Sanguine Boots;2;-0.22227202;0.10242256
Sanguine Galoshes;2;-0.26141945;0.004677006
Soulsoles;2;-0.2083897;0.2760221
Steel Boots;3;-0.2769914;0.1729657
Stoic Iks Boots;2;-0.006701875;0.35883832
Stoic Iks Sandals;2;-0.094024874;-0.023660878
Terra Boots;3;-0.37259218;-0.073967114
Traditional Leather Shoes;5;0.21574034;0.04205905
Treader of Torment;2;-0.16625653;0.14211772
Vampire Silk Slippers;3;-0.1156665;-0.26904434
Void Boots;5;0.08201902;0.109237954
Winged Boots;2;-0.13599661;0.24855247
Worn Firewalker Boots;5;0.009419562;-0.017694656
Worn Soft Boots;5;0.2407528;0.0959038
Yalahari Footwraps;2;-0.27836603;0.14985974
Yetislippers;5;0.011209835;-0.16196069
Zaoan Shoes;3;-0.35811818;-0.110593505
Alloy Legs;5;0.16926117;0.23545825
Bast Legs;2;-0.10106252;0.24984774
Bast Skirt;5;-0.007037925;0.08806446
Blue Legs;5;0.18160307;-0.017081706
Brass Legs;3;-0.3049081;-0.038097348
Broken Iks Faulds;5;0.056151755;0.2238788
Chain Legs;5;-0.087135665;0.09450201
Chocolatey Dragon Scale Legs;3;-0.06768093;-0.27333224
Crown Legs;2;-0.3286848;0.24114779
Dawnfire Pantaloons;2;-0.30348784;-0.010254995
Demon Legs;3;-0.24776526;-0.07763966
Depth Ocrea;2;-0.2741806;0.013643265
Dragon Scale Legs;3;-0.08772893;-0.12372377
Dwarven Legs;2;-0.061111256;0.07101182
Eldritch Breeches;2;-0.19337496;0.30150115
Elven Legs;5;-0.03861388;-0.0055640657
Exotic Legs;2;-0.20477419;0.17420495
Fabulous Legs;2;-0.35654896;0.18176183
Falcon Greaves;2;-0.3546182;0.30186254
Gill Legs;2;-0.39470854;-0.124771036
Glacier Kilt;3;-0.3190026;-0.17487516
Gnome Legs;2;-0.32233512;-0.07435769
Golden Legs;3;-0.46068403;0.04825437
Grasshopper Legs;5;-0.078420855;-0.15882228
Green Demon Legs;3;-0.11634989;-0.076255955
Icy Culottes;2;-0.19132514;-0.05937196
Jade Legs;2;-0.28688008;-0.05549617
Jungle Survivor Legs;2;-0.40934122;0.10990904
Knight Legs;3;-0.47719878;-0.087441556
Leaf Legs;5;0.021140857;-0.07358148
Leather Legs;3;-0.33720398;-0.03342627
Lederhosen;5;0.061786186;0.17324537
Legs of Enlightenment;2;-0.296665;0.20812298
Legs of Wisdom;2;-0.2608357;0.22745474
Lightning Legs;2;-0.37267435;0.029528663
Magma Legs;3;-0.41609997;-0.10675088
Mammoth Fur Shorts;2;-0.21831617;0.079000615
Midnight Sarong;1;-0.09525636;-0.052127313
Mutant Bone Kilt;3;-0.27880743;-0.17927074
Mutant Hide Trousers;2;-0.35571578;-0.09871401
Mutated Skin Legs;2;-0.17455743;-0.030068964
Norcferatu Bloodstrider;3;-0.37420306;-0.051604003
Norcferatu Fleshguards;2;-0.3672849;0.17654711
Norcferatu Thornwraps;2;-0.21381472;0.16919191
Ornate Legs;2;-0.047975346;0.11898479
Pirate Knee Breeches;5;-0.0081599;0.13819611
Plate Legs;3;-0.32210696;-0.18543239
Prismatic Legs;2;-0.044537917;0.15730558
Ranger Legs;5;-0.026178597;0.16724545
Sanguine Greaves;2;-0.17383572;0.29864678
Sanguine Legs;2;-0.28671545;0.44228837
Sanguine Trousers;2;-0.24227019;0.22428346
Soulful Legs;3;-0.42492625;-0.1382965
Soulshanks;2;-0.3624648;0.008766437
Soulstrider;2;-0.28800634;-0.0495015
Stitched Mutant Hide Legs;2;-0.37273148;0.0304633
Stoic Iks Culet;2;-0.25654894;0.455568
Stoic Iks Faulds;2;-0.2559428;0.024213577
Studded Legs;3;-0.26932582;0.02222669
Tatty Dragon Scale Legs;5;-0.046745747;-0.11849666
Terra Legs;3;-0.42305404;-0.17040911
Trousers of the Ancients;5;-0.0045147156;0.032961793
Wereboar Loincloth;5;0.0021818501;0.21040614
Yalahari Leg Piece;2;-0.13600717;0.22927661
Zaoan Legs;3;-0.32657555;-0.0830745
Alicorn Headguard;2;-0.15041901;0.11599467
Amazon Helmet;5;0.20371264;-0.04446466
Ancient Tiara;5;-0.04574289;0.12390714
Antler-Horn Helmet;2;-0.29461905;0.30863032
Arboreal Crown;2;-0.14893645;-0.100064695
Arcanomancer Regalia;2;-0.24127287;-0.02171449
Bandana;5;-0.10403568;0.13775879
Batwing Hat;3;-0.33740425;-0.072670184
Blue Spectacles;1;0.27843127;-0.069579974
Bonelord Helmet;3;-0.18502074;0.09737008
Brass Helmet;3;-0.3156607;-0.04768492
Bridal Wreath;4;0.13860984;0.0005752545
Broken Iks Headpiece;5;0.02548996;0.1723593
Broken Visor;5;0.16448419;0.21161163
Ceremonial Mask;3;-0.11061792;0.019896623
Chain Helmet;3;-0.29880327;-0.1534048
Charmer's Tiara;3;-0.23991765;-0.25183073
Cobra Crown;2;-0.42661682;-0.05717404
Cobra Hood;2;-0.27466208;0.47469413
Coned Hat of Enlightenment;2;-0.31133336;0.22248577
Crest of the Deep Seas;5;0.09429762;0.062977545
Crown;5;0.10470453;0.21777716
Crown Helmet;3;-0.40912643;0.0823604
Crusader Helmet;3;-0.34086153;0.065167874
Damaged Helmet;5;0.1136017;0.16662261
Dark Helmet;3;-0.24178551;-0.01660471
Dark Vision Bandana;3;-0.33307782;-0.030440453
Dark Whispers;3;-0.23858403;0.0001967908
Demon Helmet;3;-0.20812833;0.035637826
Demon Mengu;2;-0.4548224;0.11577108
Demonfang Mask;2;-0.38752106;-0.0668257
Depth Galea;5;0.10178419;0.27376276
Devil Helmet;3;-0.39141247;-0.03819806
Dragon Scale Helmet;3;-0.18653023;-0.06602642
Dreadfire Headpiece;2;-0.363154;-0.034693245
Dwarven Helmet;2;-0.14723666;0.13976929
Eldritch Cowl;2;-0.22805646;-0.032675654
Eldritch Hood;2;-0.23444435;-0.05290897
Elite Draken Helmet;2;-0.25040025;0.2976009
Enchanted Werewolf Helmet (Axe);2;-0.4122986;0.15269706
Enchanted Werewolf Helmet (Club);2;-0.3696039;0.2150501
Enchanted Werewolf Helmet (Distance);2;-0.3290843;0.07378059
Enchanted Werewolf Helmet (Fist);2;-0.4365644;0.04615785
Enchanted Werewolf Helmet (Magic);3;-0.44168335;-0.12003054
Enchanted Werewolf Helmet (Sword);2;-0.4303611;0.16974305
Ethereal Coned Hat;2;-0.3199025;0.06969974
Falcon Circlet;2;-0.37299755;-0.013943202
Falcon Coif;2;-0.30510688;0.3850543
Feather Headdress;3;-0.27339658;-0.18051513
Ferumbras' Candy Hat;5;0.052114572;-0.122701705
Ferumbras' Hat;5;-0.08084476;0.15164566
Flower Wreath;4;0.10087539;-0.12946287
Full Helmet of the Ancients;5;-0.075179614;0.16424362
Fur Cap;5;0.10751984;-0.009604864
Galea Mortis;2;-0.32745084;0.08054367
Gill Gugel;2;-0.41481465;-0.0854556
Glacier Mask;3;-0.28832924;-0.28226924
Gnome Helmet;2;-0.28867093;-0.034934524
Golden Crown;0;0.13378133;0.2085327
Golden Helmet;0;0.09928443;0.19948305
Golden Horned Helmet;0;0.052226122;0.21808837
Green Demon Helmet;3;-0.12245136;0.02851062
Gryphon Mask;5;0.08351285;0.021001365
Hat of the Mad;3;-0.39634418;-0.050751373
Hellstalker Visor;2;-0.24639137;0.25812846
Helmet of Nature;5;-0.039396882;0.060004722
Helmet of the Ancients;5;-0.09134886;0.16794427
Helmet of the Deep;5;0.021128839;0.24203256
Helmet of The Lost;5;0.07906762;0.21526077
Helmet of Ultimate Terror;2;-0.29259166;0.14135247
Horned Helmet;5;0.008438216;0.21844915
Horseman Helmet;2;-0.11962329;0.25991774
Incandescent Crown;1;0.22365187;0.091908924
Iron Crown;0;0.1057843;0.2535571
Iron Helmet;3;-0.3179464;0.013657003
Ivory Mask;5;0.12489067;-0.024171937
Jade Conical Hat;2;-0.2520278;0.034243044
Jade Hat;3;-0.46423313;-0.19942527
Jester Hat;5;0.08027267;0.116511025
Krimhorn Helmet;2;-0.20565018;0.18718204
Laurel Wreath;0;0.10314836;0.08347624
Leaf Crown;4;0.13482542;0.0805014
Leather Helmet;3;-0.35950747;-0.096527375
Legion Helmet;0;0.030987168;0.32250264
Light Bandana;2;-0.3073411;0.25010866
Lightning Headband;3;-0.31594884;-0.18701662
Lion Spangenhelm;2;-0.26661515;0.21062335
Mage Hat;3;-0.41057384;-0.12472026
Mage's Cap;2;-0.34194446;-0.061879534
Magician Hat;3;-0.16441528;-0.15247606
Magma Monocle;3;-0.44530633;-0.0995143
Maliceforged Helmet;2;-0.32962066;0.39043126
Mighty Helm of Green Sparks;5;0.059538905;0.15943772
Mining Helmet;5;0.06417493;0.15989429
Mining Helmet (Budrik);5;0.06726237;0.16271761
Mirror Mask;5;0.22371113;-0.08831277
Mystic Turban;3;-0.34454626;-0.10888276
Norcferatu Bonehood;2;-0.22234158;0.12126481
Norcferatu Skullguard;2;-0.11427738;0.21517575
Odd Hat;5;0.035278514;0.016116628
Pair of Earmuffs;3;-0.047256995;-0.24226278
Party Hat;5;0.097030915;0.08068913
Pirate Hat;5;-0.071568884;0.06160271
Porcelain Mask;4;0.24139307;-0.07687177
Post Officer's Hat;0;0.1273753;0.24834502
Prismatic Helmet;2;-0.038626816;0.24461992
Ragnir Helmet;2;-0.21311608;0.22396064
Reflecting Crown;1;0.2565871;0.12119939
Royal Helmet;3;-0.33652958;-0.16580021
Rubber Cap;3;-0.33497265;-0.12765363
Rusty Winged Helmet;5;-0.02610972;0.068043
Santa Hat;5;0.14117114;0.038143482
Sedge Hat;5;0.07181808;0.11451281
Sensing Crown;5;0.16866465;0.17171507
Shamanic Mask;3;-0.31337357;-0.08166181
Shroud of Despair;5;-0.022745896;0.073360406
Silver Mask;0;0.15541437;0.12486925
Skull Helmet;3;-0.41178828;-0.009148107
Soldier Helmet;2;-0.04694469;0.26726386
Sphinx Tiara;3;-0.24655777;-0.20479237
Spiritthorn Helmet;2;-0.27899995;0.31159016
Spooky Hood;3;-0.16097853;-0.107047
Steel Helmet;3;-0.30618292;-0.18821684
Stoic Iks Casque;2;-0.0067435703;0.32170746
Stoic Iks Headpiece;2;-0.3013241;0.008774561
Strange Helmet;3;-0.336535;-0.19926418
Studded Helmet;3;-0.20727582;-0.098483704
