index,termo
169,00 magic
170,00 magma
171,00 malofur
172,00 maxxenius
173,00 mazoran
174,00 mazzinor
175,00 mephile
176,00 merlkin
177,00 minotaur
178,00 mintwalin
179,00 mitmah
180,00 monstor
181,00 mount
182,00 ogre
183,00 orc
184,00 orger
185,00 outlaw
186,00 parder
187,00 pendurar
188,00 pirate
189,00 plaim
190,00 poder
191,00 prince
192,00 provê
193,00 ratmiral
194,00 ravenous
195,00 reager
196,00 retro
197,00 ron
198,00 rookgaard
199,00 rope
200,00 roshamuul
201,00 rotrender
202,00 scarlett
203,00 senja
204,00 serpent
205,00 servir
206,00 sharpclaw
207,00 speed
208,00 sugar
209,00 sumir
210,00 sumonar
211,00 sword
212,00 temporariamente
213,00 thaian
214,00 thal
215,00 the
216,00 timira
217,00 tortoise
218,00 transformar
219,00 urmahlullu
220,00 usar
221,00 vladrukh
222,000
223,000 experiência
224,01
225,01 alptramun
226,02
227,02 reager
228,04
229,04 fornecer
230,05
231,05 reager
232,06
233,06 reager
234,07
235,07 reager
236,08
237,09
238,09 brilhar
239,10
240,10 00
241,10 18
242,10 20
243,10 24
244,10 27
245,10 35
246,10 38
247,10 47
248,10 48
249,10 50
250,10 60
251,10 95
252,10 adult
253,10 alptramun
254,10 ancient
255,10 aumentar
256,10 crazed
257,10 death
258,10 distance
259,10 earth
260,10 energy
261,10 firir
262,10 fist
263,10 goshnar
264,10 holy
265,10 ice
266,10 magic
267,10 minuto
268,10 pendurar
269,10 poder
270,10 reager
271,10 shielding
272,100
273,100 00
274,100 knights
275,100 monk
276,100 monks
277,100 paladim
278,100 sorcerer
279,105
280,105 00
281,108
282,11
283,11 00
284,11 50
285,11 distance
286,11 fire
287,110
288,110 00
289,112
290,112 20
291,114
292,114 21
293,115
294,115 00
295,12
296,12 00
297,12 06
298,12 10
299,12 28
300,12 50
301,12 brimstone
302,12 earth
303,12 energy
304,12 fire
305,12 ice
306,12 magic
307,12 sword
308,120
309,120 00
310,120 45
311,120 knights
312,123
313,123 00
314,125
315,125 00
316,13
317,13 00
318,13 37
319,13 50
320,13 reager
321,130
322,130 00
323,130 knights
324,130 sorcerer
325,135
326,135 00
327,139
328,139 10
329,14
330,14 00
331,14 12
332,14 50
333,14 earth
334,14 energy
335,14 physical
336,14 reager
337,140
338,144
339,145
340,145 00
341,15
342,15 00
343,15 08
344,15 120
345,15 15
346,15 50
347,15 60
348,15 80
349,15 brilhar
350,15 earth
351,15 magic
352,15 magma
353,15 physical
354,15 poder
355,15 speed
356,150
357,150 00
358,150 19
359,150 druids
360,150 knights
361,150 monk
362,150 paladim
363,150 physical
364,150 sorcerer
365,156
366,156 10
367,16
368,16 00
369,16 10
370,16 50
371,16 distance
372,16 earth
373,16 energy
374,16 magic
375,16 shielding
376,160
377,160 00
378,17
379,17 00
380,17 14
381,17 distance
382,17 magic
383,17 physical
384,18
385,18 00
386,18 10
387,18 40
388,18 50
389,18 axe
390,18 club
391,18 distance
392,18 physical
393,18 sword
394,180
395,180 00
396,180 knights
397,180 magic
398,180 paladim
399,180 sorcerer
400,185
401,19
402,19 00
403,19 50
404,19 90
405,19 druids
406,19 sorcerer
407,1x5
408,20
409,20 00
410,20 12
411,20 120
412,20 15
413,20 17
414,20 18
415,20 21
416,20 36
417,20 51
418,20 70
419,20 80
420,20 adult
421,20 alptramun
422,20 ancient
423,20 aparecer
424,20 arbaziloth
425,20 bakragore
426,20 blood
427,20 brilhar
428,20 burning
429,20 criatura
430,20 dark
431,20 earth
432,20 energy
433,20 firir
434,20 fornecer
435,20 goshnar
436,20 ice
437,20 knights
438,20 physical
439,20 poder
440,20 reager
441,20 tentugly
442,20 the
443,20 tropical
444,20 wrathful
445,200
446,200 druids
447,200 knights
448,200 monk
449,200 monks
450,200 paladim
451,200 sorcerer
452,204
453,21
454,21 00
455,21 05
456,21 earth
457,21 energy
458,21 reager
459,210
460,216
461,22
462,22 00
463,22 50
464,220
465,220 knights
466,220 monks
467,220 paladim
468,220 physical
469,220 sorcerer
470,23
471,23 00
472,230
473,230 knights
474,230 monks
475,230 paladim
476,230 sorcerer
477,24
478,24 00
479,24 14
480,24 15
481,24 21
482,24 24
483,24 50
484,240
485,25
486,25 00
487,25 04
488,25 120
489,25 15
490,25 25
491,25 50
492,25 90
493,25 ano
494,25 knights
495,25 rotrender
496,25 the
497,25 year
498,25 years
499,250
500,250 druids
501,250 knights
502,250 monks
503,250 paladim
504,250 sorcerer
505,253
506,253 21
507,26
508,26 00
509,26 02
510,26 13
511,26 50
512,26 druids
513,26 earth
514,26 poder
515,27
516,27 00
517,27 07
518,27 19
519,27 27
520,27 60
521,27 600
522,27 physical
523,270
524,270 druids
525,270 knights
526,270 monks
527,270 paladim
528,270 sorcerer
529,270 sorcerers
530,28
531,28 00
532,28 15
533,28 28
534,28 430
535,28 50
536,29
537,29 00
538,29 50
539,30
540,30 00
541,30 18
542,30 30
543,30 530
544,30 60
545,30 72
546,30 90
547,30 adult
548,30 alptramun
549,30 aumentar
550,30 brain
551,30 distance
552,30 fist
553,30 goshnar
554,30 knights
555,30 poder
556,30 reager
557,30 regeneração
558,30 retro
559,30 sword
560,30 trocar
561,300
562,300 druids
563,300 knights
564,300 monks
565,300 paladim
566,300 sorcerer
567,31
568,31 00
569,31 19
570,32
571,32 00
572,32 50
573,33
574,33 00
575,33 druids
576,33 reager
577,330
578,330 knights
579,3303
580,34
581,34 00
582,35
583,35 00
584,35 12
585,35 knights
586,35 sorcerer
587,350
588,350 dano
589,36
590,36 00
591,360
592,37
593,37 00
594,37 druids
595,37 sorcerer
596,37 sqms
597,38
598,38 00
599,38 16
600,39
601,39 00
602,39 26
603,3x3
604,40
605,40 00
606,40 12
607,40 15
608,40 180
609,40 23
610,40 60
611,40 arbaziloth
612,40 baleful
613,40 cobra
614,40 goshnar
615,40 knights
616,40 reager
617,40 sorcerer
618,40 wailing
619,400
620,400 druids
621,400 knights
622,400 monks
623,400 paladim
624,400 sorcerer
625,4009
626,41
627,41 00
628,41 16
629,42
630,42 00
631,42 17
632,42 18
633,42 20
634,42 22
635,420
636,43
637,43 00
638,43 18
639,43 19
640,430
641,430 dano
642,44
643,44 00
644,44 20
645,44 24
646,44 28
647,44 death
648,44 earth
649,44 fire
650,44 goshnar
651,44 ice
652,45
653,45 00
654,45 21
655,45 63
656,45 death
657,45 knights
658,45 reager
659,46
660,46 00
661,46 09
662,46 15
663,46 20
664,46 40
665,46 90
666,46 death
667,46 fire
668,46 ice
669,460
670,460 dano
671,47
672,47 00
673,47 21
674,47 energy
675,47 ice
676,48
677,48 00
678,48 28
679,48 29
680,48 energy
681,48 fire
682,48 ice
683,49
684,49 00
685,49 24
686,49 35
687,50
688,50 00
689,50 108
690,50 12
691,50 180
692,50 240
693,50 30
694,50 48
695,50 acolyte
696,50 acês
697,50 alptramun
698,50 ancient
699,50 animated
700,50 anomaly
701,50 arbaziloth
702,50 armadile
703,50 ashmunrah
704,50 aumentar
705,50 banshee
706,50 barbarian
707,50 behemoth
708,50 bellicose
709,50 black
710,50 blood
711,50 bragrumol
712,50 brain
713,50 burning
714,50 carga
715,50 carregar
716,50 chagorz
717,50 cobra
718,50 corym
719,50 crazed
720,50 criatura
721,50 dark
722,50 death
723,50 demodra
724,50 desconhecer
725,50 domar
726,50 dragon
727,50 draken
728,50 dworc
729,50 earth
730,50 ekatrix
731,50 elf
732,50 encantar
733,50 energy
734,50 escrever
735,50 ferumbra
736,50 fire
737,50 fornecer
738,50 goshnar
739,50 ichgahal
740,50 izcandar
741,50 knights
742,50 lloyd
743,50 monk
744,50 pirate
745,50 poder
746,50 produzir
747,50 provê
748,50 ratmiral
749,50 reager
750,50 retro
751,50 sorcerer
752,50 the
753,50 unaz
754,50 vladrukh
755,50 world
756,500
757,51
758,51 00
759,51 20
760,51 27
761,51 29
762,51 32
763,52
764,52 00
765,52 30
766,52 31
767,52 50
768,53
769,53 30
770,530
771,530 dano
772,54
773,54 00
774,55
775,55 00
776,55 52
777,55 55
778,55 knights
779,56
780,56 00
781,56 33
782,57
783,57 00
784,58
785,58 00
786,59
787,59 00
788,60
789,60 00
790,60 dragon
791,60 earth
792,60 energy
793,60 fornecer
794,60 ice
795,60 knights
796,60 poder
797,60 reager
798,60 sorcerer
799,60 world
800,600
801,600 criar
802,600 druids
803,600 knights
804,600 monks
805,600 sorcerer
806,61
807,61 00
808,61 50
809,62
810,62 00
811,63
812,63 00
813,64
814,64 00
815,64 50
816,65
817,65 00
818,65 13
819,65 druids
820,65 knights
821,65 sorcerer
822,66
823,66 00
824,66 60
825,66 reager
826,660
827,67
828,67 00
829,68
830,68 00
831,69
832,69 00
833,70
834,70 00
835,70 18
836,70 180
837,70 adult
838,70 ancient
839,70 count
840,70 fornecer
841,70 goshnar
842,70 izcandar
843,70 king
844,70 knights
845,70 sorcerer
846,71
847,71 00
848,72
849,72 00
850,720
851,75
852,75 00
853,75 druids
854,75 knights
855,75 monk
856,75 paladim
857,75 sorcerer
858,75 the
859,750
860,77
861,77 00
862,77 reager
863,78
864,78 00
865,79
866,79 00
867,80
868,80 00
869,80 180
870,80 ahau
871,80 ancient
872,80 arachnophobica
873,80 blood
874,80 deixar
875,80 goshnar
876,80 knights
877,80 monks
878,80 physical
879,80 poder
880,80 ratmiral
881,80 sorcerer
882,80 the
883,80 timira
884,80-100
885,80-100 19
886,81
887,81 00
888,82
889,82 00
890,83
891,83 00
892,84
893,84 00
894,84 50
895,85
896,85 00
897,85 17
898,85 180
899,85 knights
900,85 magma
901,85-105
902,85-105 22
903,86
904,86 00
905,88
906,88 00
907,88 18
908,89
909,89 00
910,90
911,90 00
912,90 23
913,90 alptramun
914,90 animated
915,90 arachnophobica
916,90 control
917,90 horadron
918,90 ler
919,90 poder
920,90 reager
921,90 urmahlullu
922,90-110
923,90-110 21
924,91
925,91 00
926,95
927,95 00
928,95-115
929,95-115 21
930,96
931,97
932,98
933,98 24
934,99
935,99 00
936,99 fornecer
937,ab
938,abacus
939,abacus 12
940,abacus réplicar
941,abomination
942,abomination draken
943,abomination drume
944,abomination the
945,abominationr
946,abominationr domar
947,abrir
948,abrir porta
949,abyss
950,abyssador
951,abyssador 00
952,abyssador deathstrike
953,abyssal
954,abyssal calamary
955,acessar
956,acessar cela
957,acesso
958,acid
959,acid resistant
960,acolyte
961,acolyte of
962,acês
963,acês 12
964,adamant
965,adamant shield
966,adana
967,addonr
968,addonr 20
969,adept
970,adept of
971,adevo
972,adevo flar
973,adevo grav
974,adito
975,adori
976,adori flar
977,adori infir
978,adori tera
979,adori vis
980,adult
981,adult goanna
982,adura
983,adventurer
984,adventurer doll
985,adventurer stone
986,ahau
987,ahau iks
988,ahpututu
989,ahpututu iks
990,airtight
991,alawar
992,alawar vault
993,albino
994,albino dragon
995,album
996,album calcanea
997,album elven
998,alchemist
999,algum
1000,alicorn
1001,alicorn quiver
1002,alicorn ring
1003,almanac
1004,almanac of
1005,almighty
1006,almighty 40
1007,almost
1008,almost full
1009,alptramun
1010,alptramun ancient
1011,alptramun annihilon
1012,alptramun anomaly
1013,alptramun arbaziloth
1014,alptramun askarak
1015,alptramun crazed
1016,alptramun izcandar
1017,alternar
1018,alternar valiant
1019,alto
1020,alto esquerdo
1021,alvo
1022,alvo ser
1023,amarela
1024,amarelar
1025,amarelar equipar
1026,amariar
1027,amariar favourite
1028,amazon
1029,amazon minotaur
1030,amber
1031,amber crusher
1032,amber with
1033,amenef
1034,amenef the
1035,amethyst
1036,amethyst 10
1037,amostra
1038,amostra planta
1039,amplification
1040,amplification 30
1041,amulet
1042,amulet 00
1043,amulet 100
1044,amulet 50
1045,amulet 60
1046,amulet 80
1047,amulet of
1048,amulet physical
1049,amulet réplico
1050,amuletr
1051,amuletr 20
1052,amuletr 200
1053,anatomy
1054,anatomy book
1055,ancient
1056,ancient amuletr
1057,ancient lion
1058,ancient note
1059,ancient scarab
1060,ancient spawn
1061,ancient temple
1062,ancients
1063,ancients 27
1064,and
1065,and blue
1066,and druids
1067,and paladim
1068,and red
1069,anemone
1070,anemone glooth
1071,angry
1072,angry demon
1073,animal
1074,animated
1075,animated cyclop
1076,animated feather
1077,animated guzzlemaw
1078,animated moohtant
1079,animated mummy
1080,animated ogre
1081,animated snowman
1082,animater
1083,animater dead
1084,animação
1085,animação próprio
1086,ankhr
1087,ankhr 20
1088,annihilon
1089,annihilon anomaly
1090,annihilon demon
1091,anniversary
1092,anniversary backpack
1093,anniversary cake
1094,ano
1095,ano 139
1096,anomaly
1097,anomaly arachnophobicar
1098,anomaly arbaziloth
1099,anomaly ayano
1100,anomaly bashmu
1101,anomaly black
1102,anomaly brain
1103,anomaly burning
1104,anomaly eradicator
1105,another
1106,another yellow
1107,antigo
1108,apagar
1109,apagar 50
1110,aparecer
1111,aparecer nota
1112,aparentemente
1113,ape
1114,apparition
1115,apparition murcion
1116,apparition reality
1117,apple
1118,apprentice
1119,apprentice dark
1120,arachnophobica
1121,arachnophobica arbaziloth
1122,arachnophobica blight
1123,arachnophobicar
1124,arachnophobicar arbaziloth
1125,arachnophobicar burster
1126,arachnophobico
1127,arbaziloth
1128,arbaziloth 10
1129,arbaziloth armadile
1130,arbaziloth axe
1131,arbaziloth ayano
1132,arbaziloth betrayed
1133,arbaziloth black
1134,arbaziloth blightwalker
1135,arbaziloth chagorz
1136,arbaziloth club
1137,arbaziloth demodra
1138,arbaziloth demon
1139,arbaziloth fist
1140,arbaziloth magic
1141,arbaziloth sword
1142,arboreal
1143,arboreal ring
1144,arcane
1145,arcanist
1146,arcanist elf
1147,arcanist energy
1148,arcanist hero
1149,arcanist warlock
1150,arcanomancer
1151,arcanomancer sigil
1152,archer
1153,archer minotaur
1154,archer usurper
1155,archer utua
1156,archer varnished
1157,archivist
1158,archivist wyrm
1159,archivist wyvern
1160,archivist yirkas
1161,archivist young
1162,archivist zamulosh
1163,archivist zanakeph
1164,archivist zombie
1165,arctic
1166,arctic faun
1167,arenar
1168,arenar badge
1169,arm
1170,arm 00
1171,arma
1172,arma proficiência
1173,armadile
1174,armadile behemoth
1175,armadile blight
1176,armageddonr
1177,armageddonr plans
1178,armillary
1179,armillary spherir
1180,armor
1181,armor 100
1182,armor 120
1183,armor 300
1184,armor 50
1185,armor 60
1186,armor 80
1187,armor knights
1188,arnivostrich
1189,arquivo
1190,arquivo gif
1191,arrow
1192,arrow 20
1193,arrow 70
1194,arrow 90
1195,artefact
1196,artefact box
1197,artefact carpet
1198,arthei
1199,arthei askarak
1200,artist
1201,artist brush
1202,ascension
1203,ashmunrah
1204,ashmunrah cliff
1205,ashmunrah dipthrah
1206,askarak
1207,askarak demon
1208,askarak lord
1209,askarak princer
1210,assassin
1211,assassin barbarian
1212,assassin crazed
1213,assassin cyclop
1214,assassin doll
1215,assassin goblin
1216,assassin menacing
1217,assassin muglex
1218,assassinr
1219,astral
1220,astral shaper
1221,asura
1222,asura defiler
1223,asura demon
1224,asura diabolic
1225,asura mindmasher
1226,asura minotaur
1227,asura mummy
1228,asura nightmare
1229,asura ogre
1230,asura true
1231,asura twisted
1232,asura undead
1233,asura usurper
1234,asura vashresamun
1235,ataque
1236,ataque magia
1237,aucar
1238,aucar iks
1239,aucar juvenile
1240,aumentar
1241,aumentar chance
1242,aumentar dano
1243,aumentar proteção
1244,aumento
1245,aumento capacidade
1246,auror
1247,auror collection
1248,avalanche
1249,avalanche 20
1250,avenger
1251,avermelhar
1252,axe
1253,axe 120
1254,axe 16
1255,axe 20
1256,axe 25
1257,axe 30
1258,axe 35
1259,axe 40
1260,axe 41
1261,axe 45
1262,axe 50
1263,axe 55
1264,axe 70
1265,axe 75
1266,axe 80
1267,axe fighting
1268,ayano
1269,ayano the
1270,aylie
1271,aylie 12
1272,aylie réplicar
1273,azar
1274,azar sir
1275,azul
1276,azul neon
1277,azul reage
1278,azular
1279,azular equipar
1280,baby
1281,baby munster
1282,backpack
1283,backpack 15
1284,backpack 18
1285,backpack 20
1286,backpack 22
1287,backpack 24
1288,backpack 26
1289,badge
1290,badger
1291,baeloc
1292,baeloc 16
1293,bag
1294,bag 00
1295,bag of
1296,bag you
1297,bakragore
1298,bakragore bag
1299,bakragore chagorz
1300,bakragore poder
1301,baleful
1302,baleful bunny
1303,ball
1304,ball 00
1305,balloom
1306,balloom 60
1307,balloon
1308,balloon 15
1309,balloon box
1310,balloons
1311,balloons 15
1312,banano
1313,banano staff
1314,bandana
1315,bandit
1316,bandit brittle
1317,bandit crazed
1318,bandit crypt
1319,bandit glooth
1320,bandit golgordan
1321,bane
1322,bane falcon
1323,bane feral
1324,bane flimsy
1325,bane girtablilu
1326,bane lord
1327,bane of
1328,banished
1329,banished 10
1330,banished enlightened
1331,banished juggernaut
1332,banished juvenile
1333,banished katex
1334,banished king
1335,banished lady
1336,banished lost
1337,banished malofur
1338,banished maxxenius
1339,banished the
1340,bank
1341,bank 50
1342,banner
1343,banner 10
1344,banor
1345,banor doll
1346,banshee
1347,banshee hero
1348,bar
1349,bar of
1350,barbaria
1351,barbaria barbarian
1352,barbarian
1353,barbarian bloodwalker
1354,barbarian brutetamer
1355,barbarian headsplitter
1356,barbarian skullhunter
1357,bard
1358,bard doll
1359,bark
1360,baron
1361,baron from
1362,barreira
1363,barreira 1x5
1364,barreira 3x3
1365,bash
1366,bash scroll
1367,bash skillboost
1368,basher
1369,basher lost
1370,bashmu
1371,bashmu black
1372,bashmu boogy
1373,bashmu breach
1374,bashmu katex
1375,bashmu king
1376,bashmu lady
1377,bashmu massive
1378,basket
1379,bass
1380,bast
1381,bastion
1382,bat
1383,batr
1384,battery
1385,battle
1386,battleaxe
1387,battleaxe 300
1388,battleaxe 600
1389,baú
1390,beach
1391,beacon
1392,beacon 00
1393,bear
1394,bear paw
1395,beast
1396,beast devourer
1397,beast domar
1398,beast the
1399,beautiful
1400,beaver
1401,beaver of
1402,beber
1403,bed
1404,bed kit
1405,beer
1406,beer 00
1407,beer mug
1408,beetle
1409,beggar
1410,behemoth
1411,behemoth bibby
1412,behemoth black
1413,behemoth bretzecutioner
1414,behemoth destroyer
1415,behemoth stonecracker
1416,believer
1417,believer cult
1418,bell
1419,bella
1420,bella bonecrusher
1421,bellicose
1422,bellicose orger
1423,below
1424,below the
1425,berserker
1426,berserker lost
1427,berserker mad
1428,berserker magma
1429,berserker orc
1430,betrayed
1431,betrayed wraith
1432,bibby
1433,bibby bloodbath
1434,biblioteca
1435,biblioteca jakundaf
1436,big
1437,big boss
1438,big reward
1439,bird
1440,birthday
1441,birthday cake
1442,birthday card
1443,birthday cup
1444,birthday layer
1445,bishop
1446,bishop 00
1447,bishop token
1448,biting
1449,biting book
1450,black
1451,black jade
1452,black knight
1453,black skull
1454,black sphinx
1455,black tarbaz
1456,black the
1457,black vixen
1458,blackwhisker
1459,blackwhiskers
1460,blackwhiskers fist
1461,blackwhiskers magic
1462,blackwhiskers scarlett
1463,blackwhiskers tentugly
1464,blade
1465,blade 120
1466,blade 300
1467,blade 600
1468,blade 70
1469,blade 75
1470,blade of
1471,blank
1472,blazing
1473,blazing fire
1474,blazing rose
1475,blessed
1476,blessed shield
1477,blight
1478,blight mariner
1479,blightwalker
1480,blightwalker blood
1481,blightwalker bloodback
1482,blightwalker bluebeak
1483,blightwalker bretzecutioner
1484,blightwalker grim
1485,blister
1486,blister ring
1487,blistering
1488,blistering fire
1489,blob
1490,blob glooth
1491,blob ink
1492,blob juggernaut
1493,blockade
1494,blockade skillboost
1495,blood
1496,blood beast
1497,blood crab
1498,blood hand
1499,blood priest
1500,blood tongar
1501,blood tonguir
1502,bloodback
1503,bloodback cave
1504,bloodback darkfang
1505,bloodback wereboar
1506,bloodbath
1507,bloodbath black
1508,bloodbath orc
1509,bloodbeard
1510,bloodbeard bullwark
1511,bloodbeard crystal
1512,bloodtusk
1513,bloodtuskr
1514,bloodwalker
1515,bloodwalker barbarian
1516,bloodweb
1517,bloodweb the
1518,bloody
1519,blossom
1520,blossom staff
1521,blossom the
1522,blossom tormentor
1523,blossoms
1524,blossoms 00
1525,bludgeon
1526,bludgeon 600
1527,blue
1528,blue 10
1529,blue 25
1530,blue and
1531,blue balloon
1532,blue christma
1533,blue crystal
1534,blue djinn
1535,blue fireworks
1536,blue pillow
1537,blue plasma
1538,blue present
1539,blue presents
1540,blue quiver
1541,blue scale
1542,blue scales
1543,blue spherir
1544,bluebeak
1545,bluebeak burster
1546,boar
1547,boar man
1548,bog
1549,bog raider
1550,bolfrim
1551,bolfrim golden
1552,bomb
1553,bomb 20
1554,bomb glooth
1555,bomb golgordan
1556,bomb rune
1557,bombardier
1558,bombardier ravenous
1559,bone
1560,bone 19
1561,bone 50
1562,bone fiddle
1563,bone key
1564,bonebeast
1565,bonebeast brutus
1566,bonecrusher
1567,bonecrusher doll
1568,bonelord
1569,bonelord balloon
1570,bonelord braindeath
1571,bonelord crystal
1572,bonelord elder
1573,bonelord tomer
1574,bony
1575,bony sea
1576,boogey
1577,boogey 16
1578,boogy
1579,boogy chasm
1580,boogy dark
1581,book
1582,book 00
1583,book 13
1584,book 78
1585,book choking
1586,book cinder
1587,book dark
1588,book deathbine
1589,book drume
1590,book energuardian
1591,book ice
1592,book ironblight
1593,book of
1594,book with
1595,bookworm
1596,bookworm doll
1597,boots
1598,boots 00
1599,boots 130
1600,boots 150
1601,boots 220
1602,boots 250
1603,boots 270
1604,boots 35
1605,boots 70
1606,boots of
1607,boreth
1608,boss
1609,boss trolliver
1610,bosse
1611,bottle
1612,bottle of
1613,bound
1614,bound book
1615,bowl
1616,bowl 32
1617,bowl of
1618,box
1619,box 00
1620,box 10
1621,box 12
1622,box 156
1623,box 20
1624,box 25
1625,box 30
1626,box 32
1627,box 42
1628,box 50
1629,box full
1630,box réplicar
1631,box tiber
1632,brachiodemon
1633,bragrumol
1634,bragrumol burning
1635,bragrumol mozradek
1636,brain
1637,brain head
1638,brain squid
1639,braindeath
1640,braindeath elder
1641,brainstealer
1642,brainstealer axe
1643,brainstealer club
1644,brainstealer doma
1645,brainstealer fist
1646,brainstealer magic
1647,brainstealer sword
1648,brainstealer the
1649,bramble
1650,bramble wyrmling
1651,branch
1652,branch 18
1653,branco
1654,brass
1655,brass button
1656,brawler
1657,brawler deepling
1658,breach
1659,breach brood
1660,bread
1661,breeche
1662,bretzecutioner
1663,bretzecutioner broken
1664,bretzecutioner bullwark
1665,bretzecutioner burning
1666,bretzecutioner candy
1667,bretzecutioner cliff
1668,bretzecutioner destroyer
1669,bride
1670,bride goldhanded
1671,bride vampire
1672,bride varnished
1673,brigand
1674,brigand glooth
1675,brigand gorgo
1676,brigand gorzindel
1677,bright
1678,bright sword
1679,brilha
1680,brilha luz
1681,brilhar
1682,brilhar constantemente
1683,brilhar escuro
1684,brimstone
1685,brimstone bug
1686,brittle
1687,brittle skeleton
1688,brocade
1689,broken
1690,broken iks
1691,broken shaper
1692,brokul
1693,brokul magic
1694,bronze
1695,bronze cup
1696,bronze prison
1697,bronze trophy
1698,bronze warrior
1699,bronzeer
1700,bronzeer deed
1701,brooch
1702,brooch 220
1703,brooch 80
1704,brood
1705,brood bretzecutioner
1706,brood burster
1707,brood cave
1708,brood instable
1709,broom
1710,brown
1711,brown 10
1712,bruise
1713,bruise payne
1714,bruiser
1715,bruiser minotaur
1716,bruiser nomad
1717,brush
1718,brush 50
1719,brute
1720,brute animated
1721,brute arctic
1722,brute ogre
1723,brutetamer
1724,brutus
1725,brutus bloodbeard
1726,bubble
1727,bubble magic
1728,buccaneer
1729,buccaneer pirate
1730,buffalo
1731,bug
1732,bug sulphur
1733,bug trophy
1734,bullwark
1735,bullwark choking
1736,bully
1737,bundle
1738,bundle 25
1739,bunny
1740,bunny bashmu
1741,bunny burning
1742,bunnyslipper
1743,bunnyslipper 00
1744,burning
1745,burning book
1746,burning gladiator
1747,burning neferi
1748,burnt
1749,burnt out
1750,bursa
1751,bursa obscurar
1752,burster
1753,burster dread
1754,burster spectre
1755,butterfly
1756,button
1757,button 12
1758,bêbado
1759,cage
1760,cage key
1761,caiman
1762,cake
1763,cake 00
1764,cake carpet
1765,cake grynchr
1766,cake icecold
1767,cake mad
1768,calamary
1769,calcanea
1770,calcanea 12
1771,camouflage
1772,camp
1773,camp chave
1774,can
1775,can of
1776,candelabrum
1777,candle
1778,candle 22
1779,candlestick
1780,candy
1781,candy 05
1782,candy cane
1783,candy floss
1784,candy horror
1785,candy-coated
1786,candy-coated quiver
1787,cane
1788,cane 50
1789,canon
1790,canon dominu
1791,canto
1792,canto alto
1793,cap
1794,capacidade
1795,capacity
1796,capacity 150
1797,cape
1798,cape paladim
1799,captain
1800,captain quaid
1801,card
1802,card 00
1803,carga
1804,carga utilizar
1805,carlin
1806,carniphila
1807,carniphila crazed
1808,carnisylvan
1809,carnisylvan faceless
1810,carnisylvan humongous
1811,carnisylvan prince
1812,carnisylvan retching
1813,carnivor
1814,carnivor makar
1815,carnivor malofur
1816,carnivor merikh
1817,carnivor midnight
1818,carnivor minotaur
1819,carnivor orc
1820,carnivor shadowpelt
1821,carnivor tamru
1822,carnivostrich
1823,carnivostrich choking
1824,carpet
1825,carpet 00
1826,carpet 10
1827,carpet box
1828,carregar
1829,carregar líquido
