tabela_origem,url_origem,Nome,Unnamed: 3,Lvl,Voc,Volume,Bônus de Skill,Proteção,Peso,Dropa de,Arm,Cargas,Duração (min),Atributos,Bônus,Tipo de Dano,Dano Médio,Mana por Ataque,Slots,Tier,Localização,Agrupável,Notas,Mãos,Atq,Dano Elemental,Def,Mod. de Defesa,Peso (em oz),Regeneração (em segs),Agrup.,Alcance,Hit%,Elemental Bond,Spell Words,Prem,Lvl p/ fazer,Lvl p/ usar,Magic Level p/ usar,Mana p/ fazer,Soul Points,Efeito,texto_unificado,texto_normalizado,tokens,tokens_sem_stopwords,lemmas,stems
tabela_1,https://www.tibiawiki.com.br/wiki/Amuletos_e_Colares,Amulet of Theurgy,,220,Sorcerers and Druids,,,Nenhuma.,5.00,Ninguém.,0,-,-,Nenhum.,Nenhum.,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amulet of Theurgy 220 Sorcerers and Druids Nenhuma. 5.00 Ninguém. 0 - - Nenhum. Nenhum.,amulet of theurgy 220 sorcerers and druids nenhuma 5 00 ninguém 0 - - nenhum nenhum,amulet of theurgy 220 sorcerers and druids nenhuma 5 00 ninguém 0 - - nenhum nenhum,amulet of theurgy 220 sorcerers and druids 5 00 0 - -,amulet of theurgy 220 sorcerer and druids 5 00 0 - -,amulet of theurgy 220 sorcerers and druids 5 00 0 - -
tabela_1,https://www.tibiawiki.com.br/wiki/Amuletos_e_Colares,Ancient Amulet,,0,Todas,,,Nenhuma.,8.40,"Ancient Scarab, Fleshcrawler, The Ravager.",0,-,-,Nenhum.,Nenhum.,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ancient Amulet 0 Todas Nenhuma. 8.40 Ancient Scarab, Fleshcrawler, The Ravager. 0 - - Nenhum. Nenhum.",ancient amulet 0 todas nenhuma 8 40 ancient scarab fleshcrawler the ravager 0 - - nenhum nenhum,ancient amulet 0 todas nenhuma 8 40 ancient scarab fleshcrawler the ravager 0 - - nenhum nenhum,ancient amulet 0 8 40 ancient scarab fleshcrawler the ravager 0 - -,ancient amuletr 0 8 40 ancient scarab fleshcrawler the ravager 0 - -,ancient amulet 0 8 40 ancient scarab fleshcrawl the ravag 0 - -
tabela_1,https://www.tibiawiki.com.br/wiki/Amuletos_e_Colares,Beetle Necklace,,0,Todas,,,Nenhuma.,8.20,"Lancer Beetle, Orclops Doomhauler.",0,-,-,Nenhum.,Speed +2,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Beetle Necklace 0 Todas Nenhuma. 8.20 Lancer Beetle, Orclops Doomhauler. 0 - - Nenhum. Speed +2",beetle necklace 0 todas nenhuma 8 20 lancer beetle orclops doomhauler 0 - - nenhum speed +2,beetle necklace 0 todas nenhuma 8 20 lancer beetle orclops doomhauler 0 - - nenhum speed +2,beetle necklace 0 8 20 lancer beetle orclops doomhauler 0 - - speed +2,beetle necklace 0 8 20 lancer beetle orclop doomhauler 0 - - speed +2,beetl necklac 0 8 20 lanc beetl orclops doomhaul 0 - - speed +2
tabela_1,https://www.tibiawiki.com.br/wiki/Amuletos_e_Colares,Bonfire Amulet,,80,Todas,,,"Physical +60%, Fire +40%",7.00,Desconhecido.,0,5,-,Nenhum.,Nenhum.,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bonfire Amulet 80 Todas Physical +60%, Fire +40% 7.00 Desconhecido. 0 5 - Nenhum. Nenhum.",bonfire amulet 80 todas physical +60% fire +40% 7 00 desconhecido 0 5 - nenhum nenhum,bonfire amulet 80 todas physical +60 % fire +40 % 7 00 desconhecido 0 5 - nenhum nenhum,bonfire amulet 80 physical +60 % fire +40 % 7 00 0 5 -,bonfire amulet 80 physical +60 % fire +40 % 7 00 0 5 -,bonfir amulet 80 physical +60 % fir +40 % 7 00 0 5 -
tabela_1,https://www.tibiawiki.com.br/wiki/Amuletos_e_Colares,Broken Amulet,,0,Todas,,,Nenhuma.,4.20,Ninguém.,0,-,-,Nenhum.,Nenhum.,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broken Amulet 0 Todas Nenhuma. 4.20 Ninguém. 0 - - Nenhum. Nenhum.,broken amulet 0 todas nenhuma 4 20 ninguém 0 - - nenhum nenhum,broken amulet 0 todas nenhuma 4 20 ninguém 0 - - nenhum nenhum,broken amulet 0 4 20 0 - -,broken amuletr 0 4 20 0 - -,broken amulet 0 4 20 0 - -
tabela_1,https://www.tibiawiki.com.br/wiki/Amuletos_e_Colares,Bronze Amulet,,0,Todas,,,Mana Drain +20%,5.00,"Dworc Venomsniper, Dworc Voodoomaster, Minotaur, Minotaur Bruiser, Minotaur Cult Follower, Sir Leonard, Sir Leopold, Vampire.",0,200,-,Nenhum.,Nenhum.,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bronze Amulet 0 Todas Mana Drain +20% 5.00 Dworc Venomsniper, Dworc Voodoomaster, Minotaur, Minotaur Bruiser, Minotaur Cult Follower, Sir Leonard, Sir Leopold, Vampire. 0 200 - Nenhum. Nenhum.",bronze amulet 0 todas mana drain +20% 5 00 dworc venomsniper dworc voodoomaster minotaur minotaur bruiser minotaur cult follower sir leonard sir leopold vampire 0 200 - nenhum nenhum,bronze amulet 0 todas mana drain +20 % 5 00 dworc venomsniper dworc voodoomaster minotaur minotaur bruiser minotaur cult follower sir leonard sir leopold vampire 0 200 - nenhum nenhum,bronze amulet 0 mana drain +20 % 5 00 dworc venomsniper dworc voodoomaster minotaur minotaur bruiser minotaur cult follower sir leonard sir leopold vampire 0 200 -,bronze amulet 0 mana de rain +20 % 5 00 dworc venomsniper dworc voodoomaster minotaur minotaur bruiser minotaur cult follower sir leonard sir leopold vampire 0 200 -,bronz amulet 0 man drain +20 % 5 00 dworc venomsnip dworc voodoomast minotaur minotaur bruis minotaur cult follow sir leonard sir leopold vampir 0 200 -
tabela_1,https://www.tibiawiki.com.br/wiki/Amuletos_e_Colares,Bronze Necklace,,0,Todas,,,Nenhuma.,4.10,Ninguém.,0,-,-,Nenhum.,Nenhum.,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronze Necklace 0 Todas Nenhuma. 4.10 Ninguém. 0 - - Nenhum. Nenhum.,bronze necklace 0 todas nenhuma 4 10 ninguém 0 - - nenhum nenhum,bronze necklace 0 todas nenhuma 4 10 ninguém 0 - - nenhum nenhum,bronze necklace 0 4 10 0 - -,bronze necklace 0 4 10 0 - -,bronz necklac 0 4 10 0 - -
tabela_1,https://www.tibiawiki.com.br/wiki/Amuletos_e_Colares,Candy Necklace,,220,Todas,,,"Physical +3%, Energy +6%, Earth -5%",5.10,Sugar Daddy.,2,-,-,Nenhum.,Nenhum.,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Candy Necklace 220 Todas Physical +3%, Energy +6%, Earth -5% 5.10 Sugar Daddy. 2 - - Nenhum. Nenhum.",candy necklace 220 todas physical +3% energy +6% earth -5% 5 10 sugar daddy 2 - - nenhum nenhum,candy necklace 220 todas physical +3 % energy +6 % earth -5 % 5 10 sugar daddy 2 - - nenhum nenhum,candy necklace 220 physical +3 % energy +6 % earth -5 % 5 10 sugar daddy 2 - -,candy necklace 220 physical +3 % energy +6 % earth -5 % 5 10 sugar daddy 2 - -,candy necklac 220 physical +3 % energy +6 % earth -5 % 5 10 sug daddy 2 - -
tabela_1,https://www.tibiawiki.com.br/wiki/Amuletos_e_Colares,Collar of Blue Plasma,,150,Paladins,,,Nenhuma.,5.00,"Alptramun, Anomaly, Bashmu, Breach Brood, Crazed Summer Rearguard, Dread Intruder, Dreadful Disruptor, Eradicator, Guard Captain Quaid, Izcandar the Banished, Lloyd, Malofur Mangrinder, Maxxenius, Plagueroot, Poisonous Carnisylvan, Realityquake, Rupture, The Nightmare Beast, The Unarmored Voidborn, World Devourer.",0,-,30,Nenhum.,"Distance Fighting +4, Magic Level +2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collar of Blue Plasma 150 Paladins Nenhuma. 5.00 Alptramun, Anomaly, Bashmu, Breach Brood, Crazed Summer Rearguard, Dread Intruder, Dreadful Disruptor, Eradicator, Guard Captain Quaid, Izcandar the Banished, Lloyd, Malofur Mangrinder, Maxxenius, Plagueroot, Poisonous Carnisylvan, Realityquake, Rupture, The Nightmare Beast, The Unarmored Voidborn, World Devourer. 0 - 30 Nenhum. Distance Fighting +4, Magic Level +2",collar of blue plasma 150 paladins nenhuma 5 00 alptramun anomaly bashmu breach brood crazed summer rearguard dread intruder dreadful disruptor eradicator guard captain quaid izcandar the banished lloyd malofur mangrinder maxxenius plagueroot poisonous carnisylvan realityquake rupture the nightmare beast the unarmored voidborn world devourer 0 - 30 nenhum distance fighting +4 magic level +2,collar of blue plasma 150 paladins nenhuma 5 00 alptramun anomaly bashmu breach brood crazed summer rearguard dread intruder dreadful disruptor eradicator guard captain quaid izcandar the banished lloyd malofur mangrinder maxxenius plagueroot poisonous carnisylvan realityquake rupture the nightmare beast the unarmored voidborn world devourer 0 - 30 nenhum distance fighting +4 magic level +2,collar of blue plasma 150 paladins 5 00 alptramun anomaly bashmu breach brood crazed summer rearguard dread intruder dreadful disruptor eradicator guard captain quaid izcandar the banished lloyd malofur mangrinder maxxenius plagueroot poisonous carnisylvan realityquake rupture the nightmare beast the unarmored voidborn world devourer 0 - 30 distance fighting +4 magic level +2,collar of blue plasma 150 paladim 5 00 alptramun anomaly bashmu breach brood crazed summer rearguard dread intruder dreadful disruptor eradicator guard captain quaid izcandar the banished lloyd malofur mangrinder maxxenius plagueroot poisonous carnisylvan realityquake rupture the nightmare beast the unarmored voidborn world devourer 0 - 30 distance fighting +4 magic level +2,coll of blu plasm 150 paladins 5 00 alptramun anomaly bashmu breach brood crazed summ rearguard dread intrud dreadful disruptor eradicator guard captain quaid izcand the banished lloyd malofur mangrind maxxenius plagueroot poisonous carnisylvan realityquak ruptur the nightmar beast the unarmored voidborn world devour 0 - 30 distanc fighting +4 magic level +2
tabela_1,https://www.tibiawiki.com.br/wiki/Amuletos_e_Colares,Collar of Green Plasma,,150,Sorcerers and Druids,,,Nenhuma.,5.00,"Alptramun, Arachnophobica, Dread Intruder, Eradicator, Izcandar the Banished, King Zelos, Malofur Mangrinder, Maxxenius, Outburst, Plagueroot, Reality Reaver, Rhindeer, Sparkion, The Nightmare Beast, Tropical Desolator.",0,-,30,Regeneração rápida.,Magic Level +3,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collar of Green Plasma 150 Sorcerers and Druids Nenhuma. 5.00 Alptramun, Arachnophobica, Dread Intruder, Eradicator, Izcandar the Banished, King Zelos, Malofur Mangrinder, Maxxenius, Outburst, Plagueroot, Reality Reaver, Rhindeer, Sparkion, The Nightmare Beast, Tropical Desolator. 0 - 30 Regeneração rápida. Magic Level +3",collar of green plasma 150 sorcerers and druids nenhuma 5 00 alptramun arachnophobica dread intruder eradicator izcandar the banished king zelos malofur mangrinder maxxenius outburst plagueroot reality reaver rhindeer sparkion the nightmare beast tropical desolator 0 - 30 regeneração rápida magic level +3,collar of green plasma 150 sorcerers and druids nenhuma 5 00 alptramun arachnophobica dread intruder eradicator izcandar the banished king zelos malofur mangrinder maxxenius outburst plagueroot reality reaver rhindeer sparkion the nightmare beast tropical desolator 0 - 30 regeneração rápida magic level +3,collar of green plasma 150 sorcerers and druids 5 00 alptramun arachnophobica dread intruder eradicator izcandar the banished king zelos malofur mangrinder maxxenius outburst plagueroot reality reaver rhindeer sparkion the nightmare beast tropical desolator 0 - 30 regeneração rápida magic level +3,collar of green plasma 150 sorcerer and druids 5 00 alptramun arachnophobica dread intruder eradicator izcandar the banished king zelo malofur mangrinder maxxenius outburst plagueroot reality reaver rhindeer sparkion the nightmare beast tropical desolator 0 - 30 regeneração rápir magic level +3,coll of green plasm 150 sorcerers and druids 5 00 alptramun arachnophob dread intrud eradicator izcand the banished king zel malofur mangrind maxxenius outburst plagueroot reality reav rhind sparkion the nightmar beast tropical desolator 0 - 30 regener ráp magic level +3
tabela_1,https://www.tibiawiki.com.br/wiki/Amuletos_e_Colares,Collar of Orange Plasma,,150,Monks,,,Nenhuma.,5.00,"Brain Squid, Burster, Dread Intruder, Dreadful Disruptor, Foam Stalker, Lizard Chosen, Monk's Apparition, Reality Reaver, Sparkion, Terrorsleep, The Rootkraken, Tropical Desolator, Usurper Knight.",0,-,30,Nenhum.,"Fist Fighting +4, Magic Level +2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collar of Orange Plasma 150 Monks Nenhuma. 5.00 Brain Squid, Burster, Dread Intruder, Dreadful Disruptor, Foam Stalker, Lizard Chosen, Monk's Apparition, Reality Reaver, Sparkion, Terrorsleep, The Rootkraken, Tropical Desolator, Usurper Knight. 0 - 30 Nenhum. Fist Fighting +4, Magic Level +2",collar of orange plasma 150 monks nenhuma 5 00 brain squid burster dread intruder dreadful disruptor foam stalker lizard chosen monk s apparition reality reaver sparkion terrorsleep the rootkraken tropical desolator usurper knight 0 - 30 nenhum fist fighting +4 magic level +2,collar of orange plasma 150 monks nenhuma 5 00 brain squid burster dread intruder dreadful disruptor foam stalker lizard chosen monk s apparition reality reaver sparkion terrorsleep the rootkraken tropical desolator usurper knight 0 - 30 nenhum fist fighting +4 magic level +2,collar of orange plasma 150 monks 5 00 brain squid burster dread intruder dreadful disruptor foam stalker lizard chosen monk s apparition reality reaver sparkion terrorsleep the rootkraken tropical desolator usurper knight 0 - 30 fist fighting +4 magic level +2,collar of orangir plasma 150 monk 5 00 brain squid burster dread intruder dreadful disruptor foam stalker lizardr chosen monk s apparition reality reaver sparkion terrorsleep the rootkraken tropical desolator usurper knight 0 - 30 fist fighting +4 magic level +2,coll of orang plasm 150 monks 5 00 brain squid burst dread intrud dreadful disruptor foam stalk lizard chosen monk s apparition reality reav sparkion terrorsleep the rootkraken tropical desolator usurp knight 0 - 30 fist fighting +4 magic level +2
tabela_1,https://www.tibiawiki.com.br/wiki/Amuletos_e_Colares,Collar of Red Plasma,,150,Knights,,,Physical +5%,5.00,"Alptramun, Arachnophobica, Breach Brood, Burster, Dread Intruder, Eradicator, Izcandar the Banished, King Zelos, Malofur Mangrinder, Maxxenius, Outburst, Plagueroot, Reality Reaver, Rupture, Sparkion, The Nightmare Beast, World Devourer.",0,-,30,Nenhum.,"Sword Fighting +4, Club Fighting +4, Axe Fighting +4",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collar of Red Plasma 150 Knights Physical +5% 5.00 Alptramun, Arachnophobica, Breach Brood, Burster, Dread Intruder, Eradicator, Izcandar the Banished, King Zelos, Malofur Mangrinder, Maxxenius, Outburst, Plagueroot, Reality Reaver, Rupture, Sparkion, The Nightmare Beast, World Devourer. 0 - 30 Nenhum. Sword Fighting +4, Club Fighting +4, Axe Fighting +4",collar of red plasma 150 knights physical +5% 5 00 alptramun arachnophobica breach brood burster dread intruder eradicator izcandar the banished king zelos malofur mangrinder maxxenius outburst plagueroot reality reaver rupture sparkion the nightmare beast world devourer 0 - 30 nenhum sword fighting +4 club fighting +4 axe fighting +4,collar of red plasma 150 knights physical +5 % 5 00 alptramun arachnophobica breach brood burster dread intruder eradicator izcandar the banished king zelos malofur mangrinder maxxenius outburst plagueroot reality reaver rupture sparkion the nightmare beast world devourer 0 - 30 nenhum sword fighting +4 club fighting +4 axe fighting +4,collar of red plasma 150 knights physical +5 % 5 00 alptramun arachnophobica breach brood burster dread intruder eradicator izcandar the banished king zelos malofur mangrinder maxxenius outburst plagueroot reality reaver rupture sparkion the nightmare beast world devourer 0 - 30 sword fighting +4 club fighting +4 axe fighting +4,collar of red plasma 150 knights physical +5 % 5 00 alptramun arachnophobicar breach brood burster dread intruder eradicator izcandar the banished king zelo malofur mangrinder maxxenius outburst plagueroot reality reaver rupture sparkion the nightmare beast world devourer 0 - 30 sword fighting +4 club fighting +4 axe fighting +4,coll of red plasm 150 knights physical +5 % 5 00 alptramun arachnophob breach brood burst dread intrud eradicator izcand the banished king zel malofur mangrind maxxenius outburst plagueroot reality reav ruptur sparkion the nightmar beast world devour 0 - 30 sword fighting +4 club fighting +4 axe fighting +4
tabela_1,https://www.tibiawiki.com.br/wiki/Amuletos_e_Colares,Crystal Necklace,,0,Todas,,,Nenhuma.,4.90,"Amazon, Behemoth, Bretzecutioner, Crystal Spider, Destroyer, Hellgorak, Priestess.",0,-,-,Nenhum.,Nenhum.,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crystal Necklace 0 Todas Nenhuma. 4.90 Amazon, Behemoth, Bretzecutioner, Crystal Spider, Destroyer, Hellgorak, Priestess. 0 - - Nenhum. Nenhum.",crystal necklace 0 todas nenhuma 4 90 amazon behemoth bretzecutioner crystal spider destroyer hellgorak priestess 0 - - nenhum nenhum,crystal necklace 0 todas nenhuma 4 90 amazon behemoth bretzecutioner crystal spider destroyer hellgorak priestess 0 - - nenhum nenhum,crystal necklace 0 4 90 amazon behemoth bretzecutioner crystal spider destroyer hellgorak priestess 0 - -,crystal necklace 0 4 90 amazon behemoth bretzecutioner crystal spider destroyer hellgorak priestess 0 - -,crystal necklac 0 4 90 amazon behemoth bretzecution crystal spid destroy hellgorak priestess 0 - -
tabela_1,https://www.tibiawiki.com.br/wiki/Amuletos_e_Colares,Demonbone Amulet,,0,Todas,,,Nenhuma.,6.90,"Arbaziloth, Falcon Knight, Hellfire Fighter, Hellflayer, Hellgorak, Juggernaut, Lokathmor, Morguthis, Preceptor Lazare, Prince Drazzak, Shulgrax, Spectre.",0,-,-,Nenhum.,Nenhum.,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Demonbone Amulet 0 Todas Nenhuma. 6.90 Arbaziloth, Falcon Knight, Hellfire Fighter, Hellflayer, Hellgorak, Juggernaut, Lokathmor, Morguthis, Preceptor Lazare, Prince Drazzak, Shulgrax, Spectre. 0 - - Nenhum. Nenhum.",demonbone amulet 0 todas nenhuma 6 90 arbaziloth falcon knight hellfire fighter hellflayer hellgorak juggernaut lokathmor morguthis preceptor lazare prince drazzak shulgrax spectre 0 - - nenhum nenhum,demonbone amulet 0 todas nenhuma 6 90 arbaziloth falcon knight hellfire fighter hellflayer hellgorak juggernaut lokathmor morguthis preceptor lazare prince drazzak shulgrax spectre 0 - - nenhum nenhum,demonbone amulet 0 6 90 arbaziloth falcon knight hellfire fighter hellflayer hellgorak juggernaut lokathmor morguthis preceptor lazare prince drazzak shulgrax spectre 0 - -,demonbone amulet 0 6 90 arbaziloth falcon knight hellfire fighter hellflayer hellgorak juggernaut lokathmor morguthis preceptor lazare prince drazzak shulgrax spectre 0 - -,demonbon amulet 0 6 90 arbaziloth falcon knight hellfir fight hellflay hellgorak juggernaut lokathmor morguth preceptor lazar princ drazzak shulgrax spectr 0 - -
tabela_1,https://www.tibiawiki.com.br/wiki/Amuletos_e_Colares,Diamond Necklace,,0,Todas,,,Nenhuma.,5.00,Ninguém.,0,-,-,Nenhum.,Nenhum.,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond Necklace 0 Todas Nenhuma. 5.00 Ninguém. 0 - - Nenhum. Nenhum.,diamond necklace 0 todas nenhuma 5 00 ninguém 0 - - nenhum nenhum,diamond necklace 0 todas nenhuma 5 00 ninguém 0 - - nenhum nenhum,diamond necklace 0 5 00 0 - -,diamond necklace 0 5 00 0 - -,diamond necklac 0 5 00 0 - -
tabela_1,https://www.tibiawiki.com.br/wiki/Amuletos_e_Colares,Dragon Necklace,,0,Todas,,,Fire +8%,6.30,"Acolyte of the Cult, Burster Spectre, Crazed Summer Vanguard, Feral Sphinx, Hunter, Inkwing, Stalking Stalk, The Count Of The Core, The Duke Of The Depths.",0,200,-,Nenhum.,Nenhum.,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dragon Necklace 0 Todas Fire +8% 6.30 Acolyte of the Cult, Burster Spectre, Crazed Summer Vanguard, Feral Sphinx, Hunter, Inkwing, Stalking Stalk, The Count Of The Core, The Duke Of The Depths. 0 200 - Nenhum. Nenhum.",dragon necklace 0 todas fire +8% 6 30 acolyte of the cult burster spectre crazed summer vanguard feral sphinx hunter inkwing stalking stalk the count of the core the duke of the depths 0 200 - nenhum nenhum,dragon necklace 0 todas fire +8 % 6 30 acolyte of the cult burster spectre crazed summer vanguard feral sphinx hunter inkwing stalking stalk the count of the core the duke of the depths 0 200 - nenhum nenhum,dragon necklace 0 fire +8 % 6 30 acolyte of the cult burster spectre crazed summer vanguard feral sphinx hunter inkwing stalking stalk the count of the core the duke of the depths 0 200 -,dragon necklace 0 fire +8 % 6 30 acolyte of the cult burster spectre crazed summer vanguard feral sphinx hunter inkwing stalking stalk the count of the core the duke of the depths 0 200 -,dragon necklac 0 fir +8 % 6 30 acolyt of the cult burst spectr crazed summ vanguard feral sphinx hunt inkwing stalking stalk the count of the cor the duk of the depths 0 200 -
